Origen,Destino,Aerolinea,ruta,n_train
BCA,MDP,AEROLINEAS ARGENTINAS SA,BCA|MDP|AEROLINEAS ARGENTINAS SA,6
BCA,TRE,AEROLINEAS ARGENTINAS SA,BCA|TRE|AEROLINEAS ARGENTINAS SA,8
BCA,VIE,AEROLINEAS ARGENTINAS SA,BCA|VIE|AEROLINEAS ARGENTINAS SA,1
CAT,AER,AEROLINEAS ARGENTINAS SA,CAT|AER|AEROLINEAS ARGENTINAS SA,251
CAT,EZE,AEROLINEAS ARGENTINAS SA,CAT|EZE|AEROLINEAS ARGENTINAS SA,8
CAT,LAR,AEROLINEAS ARGENTINAS SA,CAT|LAR|AEROLINEAS ARGENTINAS SA,8
CBA,AER,AEROLINEAS ARGENTINAS SA,CBA|AER|AEROLINEAS ARGENTINAS SA,8863
CBA,AER,JETSMART AIRLINES S.A.,CBA|AER|JETSMART AIRLINES S.A.,1780
CBA,BAR,AEROLINEAS ARGENTINAS SA,CBA|BAR|AEROLINEAS ARGENTINAS SA,826
CBA,BAR,JETSMART AIRLINES S.A.,CBA|BAR|JETSMART AIRLINES S.A.,157
CBA,CHP,AEROLINEAS ARGENTINAS SA,CBA|CHP|AEROLINEAS ARGENTINAS SA,44
CBA,CRR,AEROLINEAS ARGENTINAS SA,CBA|CRR|AEROLINEAS ARGENTINAS SA,19
CBA,CRV,AEROLINEAS ARGENTINAS SA,CBA|CRV|AEROLINEAS ARGENTINAS SA,529
CBA,DOZ,AEROLINEAS ARGENTINAS SA,CBA|DOZ|AEROLINEAS ARGENTINAS SA,1671
CBA,DOZ,FB LÍNEAS AÉREAS - FLYBONDI,CBA|DOZ|FB LÍNEAS AÉREAS - FLYBONDI,229
CBA,DOZ,JETSMART AIRLINES S.A.,CBA|DOZ|JETSMART AIRLINES S.A.,5
CBA,ECA,AEROLINEAS ARGENTINAS SA,CBA|ECA|AEROLINEAS ARGENTINAS SA,188
