iter	Passed	Remaining
699	44450	19050
700	44518	18988
701	44584	18926
702	44668	18871
703	44739	18810
704	44792	18743
705	44852	18677
706	44928	18619
707	44996	18558
708	45045	18488
709	45102	18422
710	45178	18363
711	45254	18305
712	45324	18244
713	45403	18186
714	45474	18126
715	45548	18066
716	45613	18003
717	45689	17944
718	45753	17881
719	45826	17821
720	45887	17756
721	45991	17708
722	46045	17641
723	46113	17579
724	46187	17519
725	46260	17459
726	46330	17397
727	46375	17327
728	46438	17263
729	46505	17200
730	46589	17144
731	46651	17080
732	46717	17017
733	46793	16957
734	46861	16895
735	46935	16835
736	47011	16775
737	47083	16715
738	47154	16653
739	47224	16592
740	47304	16534
741	47376	16473
742	47455	16414
743	47529	16354
744	47588	16288
745	47659	16227
746	47725	16164
747	47788	16099
748	47866	16040
749	47939	15979
750	48013	15919
751	48083	15857
752	48152	15795
753	48222	15733
754	48277	15666
755	48338	15601
756	48409	15539
757	48479	15477
758	48541	15413
759	48606	15349
760	48679	15288
761	48753	15227
762	48826	15166
763	48884	15100
764	48947	15036
765	49015	14973
766	49087	14911
767	49174	14854
768	49243	14792
769	49307	14728
770	49365	14662
771	49437	14600
772	49507	14538
773	49581	14477
774	49660	14417
775	49727	14354
776	49809	14295
777	49887	14235
778	49951	14171
779	50027	14110
780	50102	14049
781	50183	13989
782	50268	13931
783	50344	13870
784	50413	13807
785	50485	13745
786	50560	13684
787	50617	13617
788	50692	13556
789	50752	13491
790	50817	13427
791	50881	13362
792	50962	13302
793	51044	13243
794	51112	13179
795	51167	13113
796	51230	13048
797	51297	12984
798	51374	12923
799	51447	12861
800	51546	12806
801	51607	12741
802	51681	12679
803	51746	12614
804	51820	12552
805	51886	12488
806	51966	12428
807	52046	12367
808	52113	12303
809	52201	12244
810	52279	12183
811	52350	12120
812	52416	12056
813	52483	11992
814	52543	11927
815	52616	11864
816	52690	11802
817	52763	11739
818	52836	11676
819	52900	11612
820	52969	11548
821	53048	11487
822	53114	11423
823	53182	11359
824	53258	11297
825	53315	11231
826	53393	11169
827	53476	11108
828	53547	11045
829	53616	10981
830	53683	10917
831	53751	10853
832	53822	10790
833	53901	10728
834	53971	10664
835	54041	10601
836	54105	10536
837	54175	10473
838	54236	10407
839	54299	10342
840	54361	10277
841	54427	10213
842	54506	10151
843	54576	10087
844	54645	10023
845	54723	9961
846	54790	9897
847	54859	9833
848	54938	9771
849	55008	9707
850	55077	9643
851	55149	9579
852	55216	9515
853	55293	9452
854	55355	9387
855	55425	9323
856	55497	9260
857	55571	9197
858	55645	9133
859	55709	9069
860	55782	9005
861	55852	8941
862	55926	8878
863	56000	8814
864	56073	8751
865	56158	8689
866	56224	8625
867	56291	8560
868	56360	8496
869	56426	8431
870	56502	8368
871	56579	8305
872	56649	8241
873	56710	8175
874	56768	8109
875	56836	8045
876	56892	7979
877	56972	7916
878	57025	7849
879	57101	7786
880	57174	7722
881	57246	7658
882	57324	7595
883	57389	7530
884	57454	7465
885	57523	7401
886	57581	7335
887	57649	7271
888	57707	7205
889	57780	7141
890	57858	7078
891	57907	7011
892	57972	6946
893	58039	6881
894	58107	6817
895	58177	6752
896	58244	6688
897	58304	6622
898	58371	6557
899	58433	6492
900	58502	6428
901	58567	6363
902	58645	6299
903	58710	6234
904	58788	6171
905	58851	6105
906	58914	6040
907	58985	5976
908	59061	5912
909	59128	5847
910	59210	5784
911	59290	5721
912	59364	5656
913	59436	5592
914	59499	5527
915	59577	5463
916	59651	5399
917	59722	5334
918	59798	5270
919	59862	5205
920	59929	5140
921	59988	5074
922	60041	5008
923	60110	4944
924	60170	4878
925	60237	4813
926	60307	4749
927	60384	4684
928	60438	4619
929	60505	4554
930	60566	4488
931	60637	4424
932	60708	4359
933	60776	4294
934	60842	4229
935	60922	4165
936	60994	4101
937	61077	4037
938	61142	3972
939	61221	3907
940	61281	3842
941	61348	3777
942	61411	3712
943	61477	3646
944	61542	3581
945	61614	3517
946	61685	3452
947	61761	3387
948	61831	3322
949	61900	3257
950	61980	3193
951	62053	3128
952	62125	3063
953	62180	2998
954	62257	2933
955	62321	2868
956	62406	2804
957	62473	2738
958	62548	2674
959	62603	2608
960	62672	2543
961	62745	2478
962	62846	2414
963	62916	2349
964	62995	2284
965	63064	2219
966	63126	2154
